iter	Passed	Remaining
0	342	342250
1	572	285724
2	821	273002
3	1022	254716
4	1253	249501
5	1459	241840
6	1657	235165
7	1855	230122
8	2053	226068
9	2255	223246
10	2452	220534
11	2652	218425
12	2852	216596
13	3050	214846
14	3251	213520
15	3447	211990
16	3641	210589
17	3840	209535
18	4046	208931
19	4246	208070
20	4451	207543
21	4654	206919
22	4857	206340
23	5060	205777
24	5256	204996
25	5451	204220
26	5653	203725
27	5849	203051
28	6048	202526
29	6247	201996
30	6446	201498
31	6644	200999
32	6836	200326
33	7038	199984
34	7237	199552
35	7440	199245
36	7643	198946
37	7849	198724
38	8049	198340
39	8248	197954
40	8470	198121
41	8666	197672
42	8864	197280
43	9066	196979
44	9270	196739
45	9471	196420
46	9666	196006
47	9860	195561
48	10056	195179
49	10252	194789
50	10445	194369
51	10640	193978
52	10839	193675
53	11033	193298
54	11234	193035
55	11432	192719
56	11637	192527
57	11837	192257
58	12038	191998
59	12232	191645
60	12426	191290
61	12620	190942
62	12819	190667
63	13014	190335
64	13213	190075
65	13408	189750
66	13607	189482
67	13805	189214
68	14004	188956
69	14201	188670
70	14399	188416
71	14598	188162
72	14799	187934
73	14999	187697
74	15199	187456
75	15402	187264
76	15603	187035
77	15803	186809
78	16004	186585
79	16211	186431
80	16411	186194
81	16608	185935
82	16806	185683
83	17008	185475
84	17206	185225
85	17410	185042
86	17609	184794
87	17811	184587
88	18010	184358
89	18210	184126
90	18409	183897
91	18606	183635
92	18807	183421
93	19002	183151
94	19207	182974
95	19406	182743
96	19609	182554
97	19807	182310
98	20004	182057
99	20204	181839
100	20402	181606
101	20602	181380
102	20801	181153
103	20999	180914
104	21200	180713
105	21408	180557
106	21608	180340
107	21810	180138
108	22010	179920
109	22209	179694
110	22411	179491
111	22606	179237
112	22805	179015
113	23000	178759
114	23202	178555
115	23398	178313
116	23598	178096
117	23799	177892
118	23999	177680
119	24201	177475
120	24401	177266
121	24599	177038
122	24797	176804
123	24995	176578
124	25197	176380
125	25392	176135
126	25593	175928
127	25789	175689
128	25988	175472
129	26183	175227
130	26383	175017
131	26585	174817
132	26782	174591
133	26978	174355
134	27175	174126
135	27374	173908
136	27572	173684
137	27775	173499
138	27974	173282
139	28174	173072
140	28375	172871
141	28571	172636
142	28768	172407
143	28966	172190
144	29164	171970
145	29359	171730
146	29560	171528
147	29757	171304
148	29953	171074
149	30147	170835
150	30344	170610
151	30573	170570
152	30812	170577
153	31024	170435
154	31238	170300
155	31455	170183
156	31751	170484
157	32098	171054
158	32345	171084
159	32550	170889
160	32764	170741
161	32976	170581
162	33176	170360
163	33381	170162
164	33572	169896
165	33819	169911
166	34081	169999
167	34322	169976
168	34532	169802
169	34746	169646
170	35021	169784
171	35288	169876
172	35556	169970
173	35809	169992
174	36057	169986
175	36321	170051
176	36576	170071
177	36834	170100
178	37052	169944
179	37276	169814
180	37617	170213
181	37860	170163
182	38116	170172
183	38412	170350
184	38709	170533
185	38930	170373
186	39146	170195
187	39365	170024
188	39592	169891
189	39812	169726
190	40041	169599
191	40260	169427
192	40477	169251
193	40697	169083
194	40911	168890
195	41129	168715
196	41345	168528
197	41564	168359
198	41781	168175
199	41998	167995
200	42220	167830
201	42435	167640
202	42649	167445
203	42870	167277
204	43089	167103
205	43311	166938
206	43525	166744
207	43741	166554
208	43960	166375
209	44195	166257
210	44422	166111
211	44656	165988
212	44884	165840
213	45102	165655
214	45334	165521
215	45559	165364
216	45819	165329
217	46096	165356
218	46322	165195
219	46548	165036
220	46766	164847
221	46981	164648
222	47200	164459
223	47426	164297
224	47656	164150
225	47884	163993
226	48115	163847
227	48343	163688
228	48568	163522
229	48821	163444
230	49047	163278
231	49344	163346
232	49620	163342
233	49971	163581
234	50206	163438
235	50443	163301
236	50666	163114
237	50880	162901
238	51116	162760
239	51405	162782
240	51680	162761
241	51952	162725
242	52264	162816
243	52521	162731
244	52775	162635
245	53059	162629
246	53338	162606
247	53676	162761
248	54003	162876
249	54261	162784
250	54533	162732
251	54789	162629
252	55016	162441
253	55239	162239
254	55460	162031
255	55688	161845
256	55905	161626
257	56119	161399
258	56335	161176
259	56576	161025
260	56827	160901
261	57055	160713
262	57282	160520
263	57525	160372
264	57743	160156
265	57973	159970
266	58194	159763
267	58416	159556
268	58630	159327
269	58844	159098
270	59061	158876
271	59273	158642
272	59490	158422
273	59711	158213
274	59927	157989
275	60148	157781
276	60368	157568
277	60584	157345
278	60796	157113
279	61013	156892
280	61232	156676
281	61454	156468
282	61676	156261
283	61900	156060
284	62128	155865
285	62359	155681
286	62584	155480
287	62798	155252
288	63016	155034
289	63229	154802
290	63445	154579
291	63664	154364
292	63885	154153
293	64097	153920
294	64311	153692
295	64522	153459
296	64733	153225
297	64946	152995
298	65159	152765
299	65371	152534
300	65587	152312
301	65803	152089
302	66023	151876
303	66238	151650
304	66456	151432
305	66680	151229
306	66891	150996
307	67111	150783
308	67330	150567
309	67551	150355
310	67768	150135
311	67989	149926
312	68202	149696
313	68416	149471
314	68630	149243
315	68843	149015
316	69061	148797
317	69278	148579
318	69491	148351
319	69711	148136
320	69927	147914
321	70222	147860
322	70435	147631
323	70648	147403
324	70873	147197
325	71084	146965
326	71298	146740
327	71515	146520
328	71730	146294
329	71950	146080
330	72167	145861
331	72385	145643
332	72600	145418
333	72817	145199
334	73034	144978
335	73250	144756
336	73469	144541
337	73686	144321
338	73904	144103
339	74120	143880
340	74341	143669
341	74556	143444
342	74769	143217
343	74987	143000
344	75201	142773
345	75420	142556
346	75631	142326
347	75844	142098
348	76071	141897
349	76288	141678
350	76508	141463
351	76722	141239
352	76939	141019
353	77153	140793
354	77370	140574
355	77582	140346
356	77796	140120
357	78012	139900
358	78227	139676
359	78441	139451
