iter	Passed	Remaining
0	20	15516
1	34	13065
2	49	12432
3	62	11713
4	77	11491
5	82	10181
6	92	9834
7	103	9572
8	111	9206
9	122	9098
10	132	8931
11	141	8691
12	154	8770
13	165	8677
14	179	8818
15	189	8677
16	199	8616
17	210	8541
18	218	8402
19	230	8408
20	242	8403
21	256	8475
22	265	8379
23	277	8397
24	289	8403
25	298	8303
26	308	8253
27	319	8242
28	328	8159
29	338	8124
30	346	8045
31	355	7975
32	365	7942
33	375	7898
34	384	7856
35	395	7851
36	404	7798
37	412	7737
38	426	7768
39	440	7824
40	452	7819
41	463	7818
42	477	7849
43	487	7820
44	502	7867
45	512	7836
46	522	7815
47	532	7787
48	542	7758
49	552	7731
50	565	7744
51	575	7727
52	582	7664
53	593	7654
54	603	7629
55	613	7599
56	625	7606
57	636	7592
58	646	7574
59	656	7555
60	668	7551
61	677	7519
62	687	7499
63	699	7500
64	711	7495
65	719	7460
66	731	7457
67	742	7450
68	751	7417
69	763	7412
70	773	7394
71	779	7338
72	789	7318
73	798	7295
74	805	7251
75	815	7229
76	824	7210
77	835	7196
78	843	7162
79	854	7154
80	869	7180
81	888	7234
82	901	7242
83	916	7265
84	930	7282
85	942	7279
86	955	7284
87	963	7248
88	972	7222
89	981	7195
90	988	7157
91	994	7113
92	1004	7097
93	1013	7074
94	1022	7050
95	1035	7051
96	1043	7025
97	1053	7007
98	1061	6978
99	1069	6951
100	1079	6935
101	1087	6906
102	1097	6892
103	1107	6880
104	1116	6855
105	1127	6848
106	1136	6826
107	1144	6805
108	1153	6782
109	1162	6762
110	1175	6764
111	1184	6747
112	1189	6702
113	1198	6685
114	1206	6663
115	1217	6652
116	1225	6630
117	1235	6617
118	1244	6599
119	1252	6573
120	1261	6558
121	1269	6536
122	1281	6534
123	1294	6533
124	1303	6515
125	1313	6506
126	1324	6499
127	1333	6479
128	1342	6463
129	1353	6454
130	1361	6431
131	1374	6433
132	1386	6430
133	1394	6409
134	1404	6398
135	1414	6388
136	1419	6349
137	1429	6340
138	1439	6329
139	1445	6296
140	1455	6287
141	1463	6268
142	1474	6260
143	1483	6243
144	1495	6238
145	1506	6231
146	1516	6219
147	1525	6204
148	1534	6189
149	1542	6168
150	1552	6158
151	1561	6144
152	1571	6130
153	1581	6119
154	1592	6113
155	1600	6095
156	1610	6082
157	1618	6063
158	1628	6052
159	1640	6048
160	1648	6030
161	1658	6019
162	1668	6008
163	1677	5993
164	1689	5988
165	1698	5974
166	1707	5961
167	1721	5962
168	1735	5966
169	1747	5962
170	1759	5957
171	1768	5943
172	1780	5937
173	1790	5928
174	1800	5914
175	1812	5911
176	1823	5903
177	1835	5898
178	1840	5871
179	1853	5870
180	1863	5859
181	1877	5859
182	1887	5847
183	1900	5846
184	1908	5830
185	1919	5820
186	1929	5808
187	1939	5797
188	1951	5793
189	1960	5777
190	1973	5776
191	1983	5764
192	1994	5755
193	2004	5746
194	2015	5737
195	2024	5723
196	2031	5701
197	2041	5691
198	2047	5669
199	2056	5655
200	2068	5650
201	2079	5642
202	2088	5626
203	2098	5617
204	2108	5606
205	2117	5592
206	2130	5588
207	2140	5577
208	2149	5564
209	2160	5556
210	2169	5543
211	2178	5527
212	2190	5523
213	2205	5525
214	2218	5520
215	2230	5513
216	2239	5501
217	2250	5492
218	2256	5471
219	2266	5460
220	2276	5448
221	2286	5439
222	2297	5429
223	2307	5419
224	2317	5407
225	2328	5397
226	2340	5391
227	2352	5386
228	2361	5373
229	2372	5363
230	2383	5354
231	2392	5341
232	2403	5332
233	2414	5324
234	2427	5320
235	2432	5297
236	2439	5280
237	2450	5272
238	2462	5265
239	2469	5248
240	2474	5226
241	2483	5212
242	2495	5206
243	2506	5198
244	2515	5184
245	2525	5173
246	2537	5167
247	2544	5151
248	2555	5141
249	2564	5128
250	2574	5117
251	2582	5103
252	2591	5090
253	2604	5085
254	2614	5076
255	2622	5061
256	2634	5053
257	2645	5045
258	2656	5036
259	2667	5027
260	2679	5019
261	2690	5010
262	2699	4998
263	2708	4986
264	2717	4974
265	2727	4962
266	2739	4955
267	2754	4954
268	2772	4956
269	2785	4951
270	2796	4942
271	2808	4934
272	2817	4922
273	2827	4911
274	2837	4900
275	2848	4892
276	2860	4883
277	2875	4882
278	2888	4875
279	2898	4865
280	2908	4854
281	2920	4846
282	2929	4834
283	2939	4823
284	2954	4820
285	2968	4816
286	2985	4815
287	3001	4814
288	3016	4811
289	3028	4804
290	3043	4800
291	3059	4798
292	3073	4793
293	3086	4786
294	3095	4773
295	3106	4764
296	3120	4759
297	3136	4756
298	3152	4755
299	3168	4752
300	3181	4745
301	3189	4731
302	3198	4718
303	3207	4706
304	3217	4694
305	3229	4686
306	3243	4679
307	3259	4677
308	3275	4674
309	3293	4674
310	3306	4667
311	3320	4661
312	3336	4657
313	3343	4643
314	3361	4642
315	3373	4633
316	3388	4628
317	3401	4621
318	3415	4615
319	3427	4606
320	3448	4608
321	3454	4591
322	3463	4578
