iter	Passed	Remaining
0	17	17575
1	32	16411
2	46	15572
3	62	15465
4	77	15452
5	91	15212
6	107	15290
7	121	15063
8	137	15138
9	151	14986
10	164	14797
11	178	14691
12	192	14651
13	206	14517
14	218	14347
15	230	14157
16	241	13980
17	254	13877
18	265	13701
19	280	13720
20	293	13670
21	307	13659
22	326	13876
23	339	13812
24	352	13729
25	362	13577
26	376	13567
27	390	13572
28	403	13498
29	413	13359
30	423	13247
31	436	13214
32	449	13160
33	461	13107
34	472	13032
35	485	12999
36	499	12994
37	512	12965
38	524	12915
39	536	12871
40	546	12793
41	560	12778
42	571	12723
43	585	12722
44	597	12676
45	609	12637
46	620	12574
47	632	12544
48	644	12499
49	657	12491
50	669	12453
51	681	12422
52	693	12395
53	711	12468
54	723	12424
55	738	12441
56	749	12406
57	761	12371
58	773	12329
59	785	12311
60	798	12284
61	809	12244
62	820	12208
63	834	12201
64	846	12181
65	857	12137
66	869	12109
67	882	12089
68	893	12054
69	906	12042
70	920	12044
71	934	12048
72	951	12080
73	966	12093
74	1027	12673
75	1048	12746
76	1061	12728
77	1073	12689
78	1088	12694
79	1102	12674
80	1116	12666
81	1128	12638
82	1139	12590
83	1151	12559
84	1163	12521
85	1176	12500
86	1189	12483
87	1201	12448
88	1215	12440
89	1228	12422
90	1242	12409
91	1253	12374
92	1265	12344
93	1279	12330
94	1293	12322
95	1304	12285
96	1316	12251
97	1329	12233
98	1342	12214
99	1357	12213
100	1369	12188
101	1380	12155
102	1394	12143
103	1407	12123
104	1418	12089
105	1429	12057
106	1441	12030
107	1453	12006
108	1465	11982
109	1479	11971
110	1494	11969
111	1506	11941
112	1517	11914
113	1530	11897
114	1544	11888
115	1557	11866
116	1567	11831
117	1579	11809
118	1592	11792
119	1605	11773
120	1616	11739
121	1627	11714
122	1640	11694
123	1650	11660
124	1662	11634
125	1673	11610
126	1685	11585
127	1696	11554
128	1709	11541
129	1721	11518
130	1733	11496
131	1744	11469
132	1756	11449
133	1768	11431
134	1778	11397
135	1790	11376
136	1802	11352
137	1813	11328
138	1824	11299
139	1836	11280
140	1846	11252
141	1860	11239
142	1873	11227
143	1884	11202
144	1896	11181
145	1908	11165
146	1921	11150
147	1933	11128
148	1944	11105
149	1955	11083
150	1967	11061
151	1980	11046
152	1991	11026
153	2005	11014
154	2018	11004
155	2030	10984
156	2041	10960
157	2053	10940
158	2065	10926
159	2077	10908
160	2088	10882
161	2101	10870
162	2114	10855
163	2126	10840
164	2140	10830
165	2152	10814
166	2163	10792
167	2174	10767
168	2185	10744
169	2197	10727
170	2209	10712
171	2221	10693
172	2237	10697
173	2251	10687
174	2264	10674
175	2275	10651
176	2286	10633
177	2299	10619
178	2310	10598
179	2323	10583
180	2334	10562
181	2347	10549
182	2358	10530
183	2372	10519
184	2383	10502
185	2395	10484
186	2408	10470
187	2421	10458
188	2432	10439
189	2444	10421
190	2455	10399
191	2466	10381
192	2478	10364
193	2490	10346
194	2502	10330
195	2516	10322
196	2527	10301
197	2537	10277
198	2549	10260
199	2563	10253
200	2573	10231
201	2584	10210
202	2596	10192
203	2610	10184
204	2624	10179
205	2637	10166
206	2648	10145
207	2660	10128
208	2670	10106
209	2681	10087
210	2692	10067
211	2703	10047
212	2715	10034
213	2727	10019
214	2741	10008
215	2753	9992
216	2764	9974
217	2777	9962
218	2788	9943
219	2800	9929
220	2814	9919
221	2826	9905
222	2836	9884
223	2850	9874
224	2862	9861
225	2874	9842
226	2885	9824
227	2896	9806
228	2909	9794
229	2921	9780
230	2932	9762
231	2944	9748
232	2959	9741
233	2972	9729
234	2982	9709
235	2996	9701
236	3009	9689
237	3021	9672
238	3032	9655
239	3043	9638
240	3055	9621
241	3065	9602
242	3078	9590
243	3090	9574
244	3102	9560
245	3114	9546
246	3125	9528
247	3138	9518
248	3149	9498
249	3161	9485
250	3174	9473
251	3187	9462
252	3198	9443
253	3212	9435
254	3225	9423
255	3237	9410
256	3248	9392
257	3260	9377
258	3273	9364
259	3284	9349
260	3296	9332
261	3309	9320
262	3320	9304
263	3330	9286
264	3342	9269
265	3355	9258
266	3367	9243
267	3382	9238
268	3394	9223
269	3407	9212
270	3419	9198
271	3431	9185
272	3443	9169
273	3455	9156
274	3466	9139
275	3478	9124
276	3490	9111
277	3504	9101
278	3516	9087
279	3528	9072
280	3540	9058
281	3552	9044
282	3563	9028
283	3574	9012
284	3587	9000
285	3599	8985
286	3609	8967
287	3622	8956
288	3635	8943
289	3645	8925
290	3658	8912
291	3668	8895
292	3680	8881
293	3691	8864
294	3703	8850
295	3718	8843
296	3730	8829
297	3742	8816
298	3754	8802
299	3769	8796
300	3783	8787
301	3795	8772
302	3806	8756
303	3819	8745
304	3835	8738
305	3847	8726
306	3857	8708
307	3872	8699
308	3885	8688
309	3900	8681
310	3917	8678
311	3930	8667
312	3947	8664
313	3963	8658
314	3983	8662
315	4003	8665
316	4021	8664
317	4036	8656
318	4055	8657
319	4070	8649
320	4084	8640
321	4099	8632
322	4115	8625
323	4131	8619
324	4144	8607
325	4161	8602
326	4174	8591
327	4192	8590
328	4204	8575
329	4219	8567
330	4232	8554
331	4246	8544
332	4260	8534
333	4273	8521
